HD91,2022-10-22,16,2022-1-24,1000000,NV100000,DT10000
HD92,2022-11-3,12,2021-2-14,1000000,NV100001,DT10001
HD93,2022-8-6,12,2021-4-21,1000000,NV100001,DT10002
HD94,2022-8-1,13,2019-5-13,1000000,NV100002,DT10003
HD95,2022-11-17,13,2020-4-6,1000000,NV100002,DT10004
HD96,2022-7-30,16,2022-6-6,1000000,NV100003,DT10005
HD97,2022-11-10,20,2022-1-6,1000000,NV100003,DT10006
HD98,2022-10-10,12,2022-3-20,1000000,NV100004,DT10007
HD99,2022-11-3,14,2022-4-19,1000000,NV100004,DT10008
HD910,2022-10-17,16,2019-2-3,1000000,NV100005,DT10009
HD911,2022-12-9,20,2019-6-23,1000000,NV100005,DT10010
HD912,2022-10-23,11,2021-5-14,1000000,NV100006,DT10011
HD913,2022-8-6,20,2019-5-3,1000000,NV100006,DT10012
HD914,2022-11-13,18,2020-5-4,1000000,NV100007,DT10013
HD915,2022-11-28,18,2020-3-14,1000000,NV100007,DT10014
HD916,2022-7-16,11,2019-4-15,1000000,NV100008,DT10015
HD917,2022-7-9,17,2020-4-28,1000000,NV100008,DT10016
HD918,2022-12-14,19,2021-2-1,1000000,NV100009,DT10017
HD919,2022-7-23,19,2021-5-3,1000000,NV100009,DT10018
HD920,2022-8-12,20,2019-1-26,1000000,NV100010,DT10019
HD921,2022-12-28,17,2022-3-6,1000000,NV100010,DT10020
HD922,2022-9-6,16,2021-4-6,1000000,NV100011,DT10021
HD923,2022-9-29,13,2020-6-1,1000000,NV100011,DT10022
HD924,2022-8-21,19,2020-4-1,1000000,NV100012,DT10023
HD925,2022-10-12,15,2019-2-4,1000000,NV100012,DT10024
HD926,2022-11-7,18,2022-5-10,1000000,NV100013,DT10025
HD927,2022-7-7,15,2021-1-6,1000000,NV100013,DT10026
HD928,2022-10-4,17,2020-4-10,1000000,NV100014,DT10027
HD929,2022-7-24,12,2021-6-26,1000000,NV100014,DT10028
HD930,2022-11-28,16,2022-5-14,1000000,NV100015,DT10029
HD931,2022-10-12,20,2022-2-20,1000000,NV100015,DT10030
HD932,2022-8-28,13,2021-1-5,1000000,NV100016,DT10031
HD933,2022-9-7,19,2022-6-3,1000000,NV100016,DT10032
HD934,2022-11-11,12,2019-2-9,1000000,NV100017,DT10033
HD935,2022-11-3,19,2019-4-7,1000000,NV100017,DT10034
HD936,2022-12-2,20,2021-1-18,1000000,NV100018,DT10035
HD937,2022-9-17,14,2019-3-25,1000000,NV100018,DT10036
HD938,2022-11-26,14,2020-3-26,1000000,NV100019,DT10037
HD939,2022-12-30,11,2019-4-19,1000000,NV100019,DT10038
HD940,2022-10-5,18,2021-2-13,1000000,NV100020,DT10039
HD941,2022-7-21,17,2020-5-26,1000000,NV100020,DT10040
HD942,2022-8-5,11,2022-3-13,1000000,NV100021,DT10041
HD943,2022-8-23,17,2019-3-20,1000000,NV100021,DT10042
HD944,2022-12-29,10,2020-4-27,1000000,NV100022,DT10043
HD945,2022-9-25,16,2022-5-16,1000000,NV100022,DT10044
HD946,2022-12-14,16,2019-3-13,1000000,NV100023,DT10045
HD947,2022-9-7,11,2021-6-3,1000000,NV100023,DT10046
HD948,2022-8-16,14,2021-6-9,1000000,NV100024,DT10047
HD949,2022-8-29,12,2022-2-18,1000000,NV100024,DT10048
HD950,2022-9-9,13,2020-3-20,1000000,NV100025,DT10049
HD951,2022-7-12,12,2019-1-21,1000000,NV100025,DT10050
HD952,2022-8-14,13,2019-1-20,1000000,NV100026,DT10051
